model,feature,importance
Decision Tree Classifier,categories__postcode_29784,0.0
Decision Tree Classifier,categories__postcode_29969,0.0
Decision Tree Classifier,categories__postcode_30255,0.0
Decision Tree Classifier,categories__postcode_30280,0.0
Decision Tree Classifier,categories__postcode_30312,0.0
Decision Tree Classifier,categories__postcode_30351,0.0
Decision Tree Classifier,categories__postcode_30381,0.0
Decision Tree Classifier,categories__postcode_30907,0.0
Decision Tree Classifier,categories__postcode_30939,0.0
Decision Tree Classifier,categories__postcode_31169,0.0
Decision Tree Classifier,categories__postcode_31228,0.0
Decision Tree Classifier,categories__postcode_31558,0.0
Decision Tree Classifier,categories__postcode_31787,0.0
Decision Tree Classifier,categories__postcode_31907,0.0
Decision Tree Classifier,categories__postcode_32274,0.0
Decision Tree Classifier,categories__postcode_32551,0.0
Decision Tree Classifier,categories__postcode_32800,0.0
Decision Tree Classifier,categories__postcode_33009,0.0
Decision Tree Classifier,categories__postcode_33086,0.0
Decision Tree Classifier,categories__postcode_33505,0.0
Decision Tree Classifier,categories__postcode_33526,0.0
Decision Tree Classifier,categories__postcode_33650,0.0
Decision Tree Classifier,categories__postcode_33713,0.0
Decision Tree Classifier,categories__postcode_33908,0.0
Decision Tree Classifier,categories__postcode_34189,0.0
Decision Tree Classifier,categories__postcode_34485,0.0
Decision Tree Classifier,categories__postcode_34844,0.0
Decision Tree Classifier,categories__postcode_35111,0.0
Decision Tree Classifier,categories__postcode_35194,0.0
Decision Tree Classifier,categories__postcode_35248,0.0
Decision Tree Classifier,categories__postcode_35812,0.0
Decision Tree Classifier,categories__postcode_35821,0.0
Decision Tree Classifier,categories__postcode_35935,0.0
Decision Tree Classifier,categories__postcode_35993,0.0
Decision Tree Classifier,categories__postcode_36045,0.0
Decision Tree Classifier,categories__postcode_36051,0.0
Decision Tree Classifier,categories__postcode_36288,0.0
Decision Tree Classifier,categories__postcode_36352,0.0
Decision Tree Classifier,categories__postcode_36516,0.0
Decision Tree Classifier,categories__postcode_36748,0.0
Decision Tree Classifier,categories__postcode_36752,0.0
Decision Tree Classifier,categories__postcode_36812,0.0
Decision Tree Classifier,categories__postcode_37059,0.0
Decision Tree Classifier,categories__postcode_37101,0.0
Decision Tree Classifier,categories__postcode_37225,0.0
Decision Tree Classifier,categories__postcode_37442,0.0
Decision Tree Classifier,categories__postcode_37902,0.0
Decision Tree Classifier,categories__postcode_38061,0.0
Decision Tree Classifier,categories__postcode_38189,0.0
Decision Tree Classifier,categories__postcode_38439,0.0
Decision Tree Classifier,categories__postcode_38596,0.0
Decision Tree Classifier,categories__postcode_38897,0.0
Decision Tree Classifier,categories__postcode_39016,0.0
Decision Tree Classifier,categories__postcode_39275,0.0
Decision Tree Classifier,categories__postcode_40026,0.0
Decision Tree Classifier,categories__postcode_40346,0.0
Decision Tree Classifier,categories__postcode_40399,0.0
Decision Tree Classifier,categories__postcode_40497,0.0
Decision Tree Classifier,categories__postcode_40769,0.0
Decision Tree Classifier,categories__postcode_40791,0.0
Decision Tree Classifier,categories__postcode_40946,0.0
Decision Tree Classifier,categories__postcode_40977,0.0
Decision Tree Classifier,categories__postcode_41297,0.0
Decision Tree Classifier,categories__postcode_41536,0.0
Decision Tree Classifier,categories__postcode_42160,0.0
Decision Tree Classifier,categories__postcode_42277,0.0
Decision Tree Classifier,categories__postcode_42436,0.0
Decision Tree Classifier,categories__postcode_42525,0.0
Decision Tree Classifier,categories__postcode_42894,0.0
Decision Tree Classifier,categories__postcode_43185,0.0
Decision Tree Classifier,categories__postcode_43599,0.0
Decision Tree Classifier,categories__postcode_43612,0.0
Decision Tree Classifier,categories__postcode_44056,0.0
Decision Tree Classifier,categories__postcode_44158,0.0
Decision Tree Classifier,categories__postcode_44378,0.0
Decision Tree Classifier,categories__postcode_44484,0.0
Decision Tree Classifier,categories__postcode_44917,0.0
Decision Tree Classifier,categories__postcode_45032,0.0
Decision Tree Classifier,categories__postcode_45087,0.0
Decision Tree Classifier,categories__postcode_45318,0.0
Decision Tree Classifier,categories__postcode_45341,0.0
Decision Tree Classifier,categories__postcode_45721,0.0
Decision Tree Classifier,categories__postcode_45737,0.0
Decision Tree Classifier,categories__postcode_46087,0.0
Decision Tree Classifier,categories__postcode_46854,0.0
Decision Tree Classifier,categories__postcode_46969,0.0
Decision Tree Classifier,categories__postcode_47027,0.0
Decision Tree Classifier,categories__postcode_47252,0.0
Decision Tree Classifier,categories__postcode_47277,0.0
Decision Tree Classifier,categories__postcode_47487,0.0
Decision Tree Classifier,categories__postcode_47538,0.0
Decision Tree Classifier,categories__postcode_47635,0.0
Decision Tree Classifier,categories__postcode_48281,0.0
Decision Tree Classifier,categories__postcode_48406,0.0
Decision Tree Classifier,categories__postcode_48718,0.0
Decision Tree Classifier,categories__postcode_48974,0.0
Decision Tree Classifier,categories__postcode_49021,0.0
Decision Tree Classifier,categories__postcode_49162,0.0
Decision Tree Classifier,categories__postcode_49765,0.0
Decision Tree Classifier,categories__postcode_49832,0.0
Decision Tree Classifier,categories__postcode_49887,0.0
Decision Tree Classifier,categories__postcode_50432,0.0
Decision Tree Classifier,categories__postcode_50491,0.0
Decision Tree Classifier,categories__postcode_50990,0.0
Decision Tree Classifier,categories__postcode_51139,0.0
Decision Tree Classifier,categories__postcode_51175,0.0
Decision Tree Classifier,categories__postcode_51209,0.0
Decision Tree Classifier,categories__postcode_51477,0.0
Decision Tree Classifier,categories__postcode_51623,0.0
Decision Tree Classifier,categories__postcode_51953,0.0
Decision Tree Classifier,categories__postcode_52472,0.0
Decision Tree Classifier,categories__postcode_52544,0.0
Decision Tree Classifier,categories__postcode_52559,0.0
Decision Tree Classifier,categories__postcode_52865,0.0
Decision Tree Classifier,categories__postcode_53318,0.0
Decision Tree Classifier,categories__postcode_53425,0.0
Decision Tree Classifier,categories__postcode_54077,0.0
Decision Tree Classifier,categories__postcode_54467,0.0
Decision Tree Classifier,categories__postcode_54531,0.0
Decision Tree Classifier,categories__postcode_54540,0.0
Decision Tree Classifier,categories__postcode_54582,0.0
Decision Tree Classifier,categories__postcode_54765,0.0
Decision Tree Classifier,categories__postcode_55683,0.0
Decision Tree Classifier,categories__postcode_55950,0.0
Decision Tree Classifier,categories__postcode_56492,0.0
Decision Tree Classifier,categories__postcode_57220,0.0
Decision Tree Classifier,categories__postcode_57311,0.0
Decision Tree Classifier,categories__postcode_57488,0.0
Decision Tree Classifier,categories__postcode_57621,0.0
Decision Tree Classifier,categories__postcode_58273,0.0
Decision Tree Classifier,categories__postcode_58975,0.0
Decision Tree Classifier,categories__postcode_59103,0.0
Decision Tree Classifier,categories__postcode_59342,0.0
Decision Tree Classifier,categories__postcode_59499,0.0
Decision Tree Classifier,categories__postcode_59714,0.0
Decision Tree Classifier,categories__postcode_60365,0.0
Decision Tree Classifier,categories__postcode_60591,0.0
Decision Tree Classifier,categories__postcode_60758,0.0
Decision Tree Classifier,categories__postcode_60870,0.0
Decision Tree Classifier,categories__postcode_60931,0.0
Decision Tree Classifier,categories__postcode_61035,0.0
Decision Tree Classifier,categories__postcode_61240,0.0
Decision Tree Classifier,categories__postcode_61508,0.0
Decision Tree Classifier,categories__postcode_61865,0.0
Decision Tree Classifier,categories__postcode_62589,0.0
Decision Tree Classifier,categories__postcode_62858,0.0
Decision Tree Classifier,categories__postcode_63292,0.0
Decision Tree Classifier,categories__postcode_63535,0.0
Decision Tree Classifier,categories__postcode_63688,0.0
Decision Tree Classifier,categories__postcode_63738,0.0
Decision Tree Classifier,categories__postcode_63790,0.0
Decision Tree Classifier,categories__postcode_64304,0.0
Decision Tree Classifier,categories__postcode_64435,0.0
Decision Tree Classifier,categories__postcode_64678,0.0
Decision Tree Classifier,categories__postcode_64770,0.0
Decision Tree Classifier,categories__postcode_65205,0.0
Decision Tree Classifier,categories__postcode_65406,0.0
Decision Tree Classifier,categories__postcode_65445,0.0
Decision Tree Classifier,categories__postcode_65531,0.0
Decision Tree Classifier,categories__postcode_65941,0.0
Decision Tree Classifier,categories__postcode_66321,0.0
Decision Tree Classifier,categories__postcode_66561,0.0
Decision Tree Classifier,categories__postcode_66736,0.0
Decision Tree Classifier,categories__postcode_66846,0.0
Decision Tree Classifier,categories__postcode_67000,0.0
Decision Tree Classifier,categories__postcode_67354,0.0
Decision Tree Classifier,categories__postcode_67771,0.0
Decision Tree Classifier,categories__postcode_68219,0.0
Decision Tree Classifier,categories__postcode_68818,0.0
Decision Tree Classifier,categories__postcode_69345,0.0
Decision Tree Classifier,categories__postcode_69565,0.0
Decision Tree Classifier,categories__postcode_69716,0.0
Decision Tree Classifier,categories__postcode_69772,0.0
Decision Tree Classifier,categories__postcode_69998,0.0
Decision Tree Classifier,categories__postcode_70059,0.0
Decision Tree Classifier,categories__postcode_70124,0.0
Decision Tree Classifier,categories__postcode_70202,0.0
Decision Tree Classifier,categories__postcode_70224,0.0
Decision Tree Classifier,categories__postcode_70870,0.0
Decision Tree Classifier,categories__postcode_70907,0.0
Decision Tree Classifier,categories__postcode_71044,0.0
Decision Tree Classifier,categories__postcode_71048,0.0
Decision Tree Classifier,categories__postcode_71057,0.0
Decision Tree Classifier,categories__postcode_71461,0.0
Decision Tree Classifier,categories__postcode_71990,0.0
Decision Tree Classifier,categories__postcode_72206,0.0
Decision Tree Classifier,categories__postcode_72305,0.0
Decision Tree Classifier,categories__postcode_72316,0.0
Decision Tree Classifier,categories__postcode_72331,0.0
Decision Tree Classifier,categories__postcode_72562,0.0
Decision Tree Classifier,categories__postcode_73166,0.0
Decision Tree Classifier,categories__postcode_73211,0.0
Decision Tree Classifier,categories__postcode_73263,0.0
Decision Tree Classifier,categories__postcode_73470,0.0
Decision Tree Classifier,categories__postcode_73700,0.0
Decision Tree Classifier,categories__postcode_74181,0.0
Decision Tree Classifier,categories__postcode_74422,0.0
Decision Tree Classifier,categories__postcode_74731,0.0
Decision Tree Classifier,categories__postcode_74745,0.0
Decision Tree Classifier,categories__postcode_74826,0.0
Decision Tree Classifier,categories__postcode_75293,0.0
Decision Tree Classifier,categories__postcode_75426,0.0
Decision Tree Classifier,categories__postcode_77380,0.0
Decision Tree Classifier,categories__postcode_77389,0.0
Decision Tree Classifier,categories__postcode_77544,0.0
Decision Tree Classifier,categories__postcode_78041,0.0
Decision Tree Classifier,categories__postcode_78097,0.0
Decision Tree Classifier,categories__postcode_78245,0.0
Decision Tree Classifier,categories__postcode_78473,0.0
Decision Tree Classifier,categories__postcode_78479,0.0
Decision Tree Classifier,categories__postcode_78581,0.0
Decision Tree Classifier,categories__postcode_78676,0.0
Decision Tree Classifier,categories__postcode_78800,0.0
Decision Tree Classifier,categories__postcode_78840,0.0
Decision Tree Classifier,categories__postcode_79025,0.0
Decision Tree Classifier,categories__postcode_79036,0.0
Decision Tree Classifier,categories__postcode_79112,0.0
Decision Tree Classifier,categories__postcode_79164,0.0
Decision Tree Classifier,categories__postcode_79461,0.0
Decision Tree Classifier,categories__postcode_79890,0.0
Decision Tree Classifier,categories__postcode_79910,0.0
Decision Tree Classifier,categories__postcode_80271,0.0
Decision Tree Classifier,categories__postcode_80710,0.0
Decision Tree Classifier,categories__postcode_80727,0.0
Decision Tree Classifier,categories__postcode_80971,0.0
Decision Tree Classifier,categories__postcode_81373,0.0
Decision Tree Classifier,categories__postcode_81480,0.0
Decision Tree Classifier,categories__postcode_81623,0.0
Decision Tree Classifier,categories__postcode_81721,0.0
Decision Tree Classifier,categories__postcode_81758,0.0
Decision Tree Classifier,categories__postcode_82458,0.0
Decision Tree Classifier,categories__postcode_82659,0.0
Decision Tree Classifier,categories__postcode_83204,0.0
Decision Tree Classifier,categories__postcode_83259,0.0
Decision Tree Classifier,categories__postcode_83957,0.0
Decision Tree Classifier,categories__postcode_84023,0.0
Decision Tree Classifier,categories__postcode_84562,0.0
Decision Tree Classifier,categories__postcode_84840,0.0
Decision Tree Classifier,categories__postcode_85111,0.0
Decision Tree Classifier,categories__postcode_85252,0.0
Decision Tree Classifier,categories__postcode_85334,0.0
Decision Tree Classifier,categories__postcode_85577,0.0
Decision Tree Classifier,categories__postcode_85627,0.0
Decision Tree Classifier,categories__postcode_85728,0.0
Decision Tree Classifier,categories__postcode_85905,0.0
Decision Tree Classifier,categories__postcode_86175,0.0
Decision Tree Classifier,categories__postcode_86527,0.0
Decision Tree Classifier,categories__postcode_86693,0.0
Decision Tree Classifier,categories__postcode_87025,0.0
Decision Tree Classifier,categories__postcode_87667,0.0
Decision Tree Classifier,categories__postcode_87732,0.0
Decision Tree Classifier,categories__postcode_88659,0.0
Decision Tree Classifier,categories__postcode_88765,0.0
Decision Tree Classifier,categories__postcode_88846,0.0
Decision Tree Classifier,categories__postcode_88967,0.0
Decision Tree Classifier,categories__postcode_89225,0.0
Decision Tree Classifier,categories__postcode_89353,0.0
Decision Tree Classifier,categories__postcode_89400,0.0
Decision Tree Classifier,categories__postcode_89504,0.0
Decision Tree Classifier,categories__postcode_89640,0.0
Decision Tree Classifier,categories__postcode_89762,0.0
Decision Tree Classifier,categories__postcode_90062,0.0
Decision Tree Classifier,categories__postcode_90570,0.0
Decision Tree Classifier,categories__postcode_90854,0.0
Decision Tree Classifier,categories__postcode_91098,0.0
Decision Tree Classifier,categories__postcode_91143,0.0
Decision Tree Classifier,categories__postcode_91173,0.0
Decision Tree Classifier,categories__postcode_91211,0.0
Decision Tree Classifier,categories__postcode_91432,0.0
Decision Tree Classifier,categories__postcode_91764,0.0
Decision Tree Classifier,categories__city_Dungun,0.0
Decision Tree Classifier,categories__postcode_96108,0.0
Decision Tree Classifier,categories__postcode_96236,0.0
Decision Tree Classifier,categories__postcode_96276,0.0
Decision Tree Classifier,categories__postcode_96410,0.0
Decision Tree Classifier,categories__postcode_96635,0.0
Decision Tree Classifier,categories__postcode_96810,0.0
Decision Tree Classifier,categories__postcode_97020,0.0
Decision Tree Classifier,categories__postcode_97450,0.0
Decision Tree Classifier,categories__postcode_97559,0.0
Decision Tree Classifier,categories__postcode_97602,0.0
Decision Tree Classifier,categories__postcode_97854,0.0
Decision Tree Classifier,categories__country_Malaysia,0.0
Decision Tree Classifier,categories__membership_status_Active,0.0
Decision Tree Classifier,categories__membership_status_Inactive,0.0
Decision Tree Classifier,categories__postcode_95706,0.0
Decision Tree Classifier,categories__city_Sungai Petani,0.0
Decision Tree Classifier,categories__city_Ipoh,0.0
Decision Tree Classifier,categories__city_Johor Bahru,0.0
Decision Tree Classifier,categories__city_Klang,0.0
Decision Tree Classifier,categories__city_Kota Bharu,0.0
Decision Tree Classifier,categories__city_Kuala Lumpur,0.0
Decision Tree Classifier,categories__city_Kuala Terengganu,0.0
Decision Tree Classifier,categories__city_Kuantan,0.0
Decision Tree Classifier,categories__city_Kulim,0.0
Decision Tree Classifier,categories__city_Muar,0.0
Decision Tree Classifier,categories__city_Pasir Mas,0.0
Decision Tree Classifier,categories__city_Port Dickson,0.0
Decision Tree Classifier,categories__city_Seremban,0.0
Decision Tree Classifier,categories__city_Shah Alam,0.0
Decision Tree Classifier,categories__city_Subang Jaya,0.0
Decision Tree Classifier,categories__city_Georgetown,0.0
